Timestamp_UTC,AirTemp_C,GroundTemp_0cm_C,GroundTemp_16p7cm_C,GroundTemp_33p2cm_C,GroundTemp_49p4cm_C,QC_AirTemp_C,QC_GroundTemp_0cm_C,QC_GroundTemp_16p7cm_C,QC_GroundTemp_33p2cm_C,QC_GroundTemp_49p4cm_C
2023-08-21 10:00:00,8.568,7.995,4.246,1.317,0.273,0,0,0,0,0
2023-08-21 11:00:00,8.643,7.895,4.194,1.344,0.273,0,0,0,0,0
2023-08-21 12:00:00,8.643,7.845,4.246,1.317,0.273,0,0,0,0,0
2023-08-21 13:00:00,8.643,7.77,4.089,1.289,0.273,0,0,0,0,0
2023-08-21 14:00:00,8.568,7.619,4.063,1.289,0.273,0,0,0,0,0
2023-08-21 15:00:00,8.568,7.569,4.011,1.317,0.273,0,0,0,0,0
2023-08-21 16:00:00,8.717,7.569,4.011,1.317,0.273,0,0,0,0,0
2023-08-21 17:00:00,8.916,7.645,4.037,1.344,0.273,0,0,0,0,0
2023-08-21 18:00:00,9.386,7.92,4.037,1.344,0.273,0,0,0,0,0
2023-08-21 19:00:00,9.682,8.344,4.115,1.344,0.273,0,0,0,0,0
2023-08-21 20:00:00,10.198,8.965,4.272,1.344,0.273,0,0,0,0,0
2023-08-21 21:00:00,11.053,9.829,4.428,1.371,0.273,0,0,0,0,0
2023-08-21 22:00:00,11.443,10.883,4.558,1.398,0.273,0,0,0,0,0
2023-08-21 23:00:00,11.686,11.346,4.74,1.398,0.273,0,0,0,0,0
2023-08-22 00:00:00,11.516,11.492,4.792,1.398,0.273,0,0,0,0,0
2023-08-22 01:00:00,11.734,11.394,4.869,1.398,0.273,0,0,0,0,0
2023-08-22 02:00:00,11.637,11.053,4.792,1.398,0.273,0,0,0,0,0
2023-08-22 03:00:00,11.005,10.712,4.74,1.398,0.273,0,0,0,0,0
2023-08-22 04:00:00,10.271,10.32,4.662,1.398,0.273,0,0,0,0,0
2023-08-22 05:00:00,9.928,9.829,4.61,1.398,0.273,0,0,0,0,0
2023-08-22 06:00:00,9.731,9.238,4.584,1.398,0.273,0,0,0,0,0
